Seizoen;Datum;Thuisclub;Uitclub;Thuisscore;Uitscore
2017-2018;15/09/2017;Sparta Rotterdam;AZ;0;2
2017-2018;16/09/2017;Excelsior;SC Heerenveen;1;2
2017-2018;16/09/2017;NAC Breda;FC Groningen;2;1
2017-2018;16/09/2017;PEC Zwolle;Heracles Almelo;2;1
2017-2018;16/09/2017;Roda JC;Willem II;1;3
2017-2018;17/09/2017;ADO Den Haag;Ajax;1;1
2017-2018;17/09/2017;FC Twente;FC Utrecht;4;0
2017-2018;17/09/2017;PSV;Feyenoord;1;0
2017-2018;17/09/2017;Vitesse;VVV-Venlo;1;1
2017-2018;23/09/2017;ADO Den Haag;Sparta Rotterdam;1;0
2017-2018;23/09/2017;Feyenoord;NAC Breda;0;2
2017-2018;23/09/2017;Heracles Almelo;Roda JC;2;1
2017-2018;23/09/2017;Willem II;SC Heerenveen;1;2
2017-2018;24/09/2017;Ajax;Vitesse;1;2
2017-2018;24/09/2017;AZ;Excelsior;0;2
2017-2018;24/09/2017;FC Groningen;FC Twente;1;0
2017-2018;24/09/2017;FC Utrecht;PSV;1;7
2017-2018;24/09/2017;VVV-Venlo;PEC Zwolle;1;1
2017-2018;29/09/2017;FC Twente;Heracles Almelo;2;1
2017-2018;30/09/2017;Excelsior;VVV-Venlo;0;2
2017-2018;30/09/2017;NAC Breda;ADO Den Haag;0;1
2017-2018;30/09/2017;PEC Zwolle;FC Groningen;3;2
2017-2018;30/09/2017;PSV;Willem II;4;0
2017-2018;01/10/2017;AZ;Feyenoord;0;4
2017-2018;01/10/2017;SC Heerenveen;Ajax;0;4
2017-2018;01/10/2017;Sparta Rotterdam;Roda JC;1;2
2017-2018;01/10/2017;Vitesse;FC Utrecht;1;1
2017-2018;14/10/2017;Ajax;Sparta Rotterdam;4;0
2017-2018;14/10/2017;FC Utrecht;SC Heerenveen;3;1
2017-2018;14/10/2017;Feyenoord;PEC Zwolle;0;0
2017-2018;14/10/2017;Roda JC;NAC Breda;1;0
2017-2018;15/10/2017;ADO Den Haag;Excelsior;1;2
2017-2018;15/10/2017;FC Groningen;AZ;1;1
2017-2018;15/10/2017;Heracles Almelo;Vitesse;1;1
2017-2018;15/10/2017;VVV-Venlo;PSV;2;5
2017-2018;15/10/2017;Willem II;FC Twente;3;1
2017-2018;20/10/2017;FC Groningen;Willem II;0;1
2017-2018;21/10/2017;Excelsior;Sparta Rotterdam;1;1
2017-2018;21/10/2017;FC Twente;Roda JC;3;0
2017-2018;21/10/2017;NAC Breda;PEC Zwolle;0;2
2017-2018;21/10/2017;VVV-Venlo;ADO Den Haag;0;2
2017-2018;22/10/2017;AZ;FC Utrecht;3;0
2017-2018;22/10/2017;Feyenoord;Ajax;1;4
2017-2018;22/10/2017;PSV;Heracles Almelo;3;0
2017-2018;22/10/2017;SC Heerenveen;Vitesse;0;4
2017-2018;27/10/2017;FC Twente;Excelsior;1;3
2017-2018;28/10/2017;Heracles Almelo;VVV-Venlo;3;0
2017-2018;28/10/2017;PEC Zwolle;ADO Den Haag;2;0
2017-2018;28/10/2017;Roda JC;Feyenoord;1;1
2017-2018;28/10/2017;Willem II;Ajax;1;3
2017-2018;29/10/2017;FC Utrecht;NAC Breda;2;2
2017-2018;29/10/2017;SC Heerenveen;AZ;1;2
2017-2018;29/10/2017;Sparta Rotterdam;FC Groningen;2;1
2017-2018;29/10/2017;Vitesse;PSV;2;4
2017-2018;03/11/2017;Sparta Rotterdam;SC Heerenveen;0;0
2017-2018;04/11/2017;AZ;Willem II;3;2
2017-2018;04/11/2017;Excelsior;Roda JC;1;0
2017-2018;04/11/2017;Heracles Almelo;FC Groningen;2;1
2017-2018;04/11/2017;VVV-Venlo;NAC Breda;0;0
2017-2018;05/11/2017;ADO Den Haag;Feyenoord;2;2
2017-2018;05/11/2017;Ajax;FC Utrecht;1;2
2017-2018;05/11/2017;PSV;FC Twente;4;3
2017-2018;05/11/2017;Vitesse;PEC Zwolle;0;0
2017-2018;18/11/2017;FC Twente;SC Heerenveen;0;4
2017-2018;18/11/2017;Feyenoord;VVV-Venlo;1;1
2017-2018;18/11/2017;NAC Breda;Ajax;0;8
2017-2018;18/11/2017;Willem II;Sparta Rotterdam;2;2
2017-2018;19/11/2017;ADO Den Haag;Heracles Almelo;4;1
2017-2018;19/11/2017;FC Groningen;Vitesse;4;2
2017-2018;19/11/2017;FC Utrecht;Excelsior;3;1
2017-2018;19/11/2017;PEC Zwolle;PSV;0;1
2017-2018;19/11/2017;Roda JC;AZ;0;1
2017-2018;24/11/2017;AZ;FC Twente;2;0
2017-2018;25/11/2017;FC Groningen;Feyenoord;0;2
2017-2018;25/11/2017;Heracles Almelo;NAC Breda;2;1
2017-2018;25/11/2017;SC Heerenveen;PEC Zwolle;1;2
2017-2018;25/11/2017;VVV-Venlo;Willem II;3;3
2017-2018;26/11/2017;Ajax;Roda JC;5;1
2017-2018;26/11/2017;Excelsior;PSV;1;2
2017-2018;26/11/2017;Sparta Rotterdam;FC Utrecht;1;3
2017-2018;26/11/2017;Vitesse;ADO Den Haag;2;0
2017-2018;01/12/2017;PEC Zwolle;FC Utrecht;1;1
2017-2018;02/12/2017;ADO Den Haag;FC Groningen;0;3
2017-2018;02/12/2017;FC Twente;Ajax;3;3
2017-2018;02/12/2017;Feyenoord;Vitesse;1;0
2017-2018;02/12/2017;Willem II;Heracles Almelo;3;1
2017-2018;03/12/2017;NAC Breda;Excelsior;3;1
2017-2018;03/12/2017;PSV;Sparta Rotterdam;1;0
2017-2018;03/12/2017;Roda JC;SC Heerenveen;2;1
2017-2018;03/12/2017;VVV-Venlo;AZ;0;2
2017-2018;08/12/2017;Willem II;NAC Breda;1;1
2017-2018;09/12/2017;AZ;Heracles Almelo;5;0
2017-2018;09/12/2017;Excelsior;PEC Zwolle;1;2
2017-2018;09/12/2017;FC Twente;ADO Den Haag;2;3
2017-2018;09/12/2017;SC Heerenveen;VVV-Venlo;2;2
2017-2018;10/12/2017;Ajax;PSV;3;0
2017-2018;10/12/2017;Roda JC;FC Groningen;2;2
2017-2018;12/12/2017;NAC Breda;FC Twente;1;2
2017-2018;12/12/2017;PEC Zwolle;AZ;1;1
2017-2018;13/12/2017;ADO Den Haag;Roda JC;3;2
2017-2018;13/12/2017;FC Groningen;PSV;3;3
2017-2018;13/12/2017;Feyenoord;SC Heerenveen;1;1
2017-2018;13/12/2017;Vitesse;Willem II;2;2
2017-2018;13/12/2017;VVV-Venlo;FC Utrecht;0;1
2017-2018;14/12/2017;Ajax;Excelsior;3;1
2017-2018;14/12/2017;Heracles Almelo;Sparta Rotterdam;3;2
2017-2018;16/12/2017;FC Twente;Vitesse;1;1
2017-2018;16/12/2017;PSV;ADO Den Haag;3;0
2017-2018;16/12/2017;Roda JC;VVV-Venlo;0;1
2017-2018;16/12/2017;SC Heerenveen;NAC Breda;1;0
2017-2018;16/12/2017;Willem II;PEC Zwolle;2;3
2017-2018;17/12/2017;AZ;Ajax;1;2
2017-2018;17/12/2017;Excelsior;FC Groningen;2;0
2017-2018;17/12/2017;FC Utrecht;Heracles Almelo;1;1
2017-2018;17/12/2017;Sparta Rotterdam;Feyenoord;0;7
2017-2018;22/12/2017;ADO Den Haag;PEC Zwolle;4;0
2017-2018;23/12/2017;AZ;SC Heerenveen;3;1
2017-2018;23/12/2017;Excelsior;FC Twente;0;0
2017-2018;23/12/2017;NAC Breda;FC Utrecht;3;1
2017-2018;23/12/2017;PSV;Vitesse;2;1
2017-2018;24/12/2017;Ajax;Willem II;3;1
2017-2018;24/12/2017;FC Groningen;Sparta Rotterdam;4;0
2017-2018;24/12/2017;Feyenoord;Roda JC;5;1
2017-2018;24/12/2017;VVV-Venlo;Heracles Almelo;3;1
2017-2018;16/01/2018;Sparta Rotterdam;Vitesse;0;1
2017-2018;19/01/2018;FC Utrecht;AZ;1;1
2017-2018;20/01/2018;ADO Den Haag;VVV-Venlo;1;1
2017-2018;20/01/2018;PEC Zwolle;NAC Breda;1;0
2017-2018;20/01/2018;Roda JC;FC Twente;1;1
2017-2018;20/01/2018;Vitesse;SC Heerenveen;1;1
2017-2018;21/01/2018;Ajax;Feyenoord;2;0
2017-2018;21/01/2018;Heracles Almelo;PSV;1;2
2017-2018;21/01/2018;Sparta Rotterdam;Excelsior;2;3
2017-2018;21/01/2018;Willem II;FC Groningen;1;1
2017-2018;24/01/2018;FC Utrecht;Feyenoord;1;1
2017-2018;26/01/2018;SC Heerenveen;Sparta Rotterdam;2;1
2017-2018;27/01/2018;FC Groningen;Heracles Almelo;3;3
2017-2018;27/01/2018;FC Twente;PSV;0;2
2017-2018;27/01/2018;NAC Breda;VVV-Venlo;0;1
2017-2018;27/01/2018;PEC Zwolle;Vitesse;1;2
2017-2018;28/01/2018;FC Utrecht;Ajax;0;0
2017-2018;28/01/2018;Feyenoord;ADO Den Haag;3;1
2017-2018;28/01/2018;Roda JC;Excelsior;2;1
2017-2018;28/01/2018;Willem II;AZ;0;2
2017-2018;02/02/2018;Vitesse;FC Groningen;2;0
2017-2018;03/02/2018;Heracles Almelo;ADO Den Haag;1;1
2017-2018;03/02/2018;PSV;PEC Zwolle;4;0
2017-2018;03/02/2018;SC Heerenveen;FC Twente;1;0
2017-2018;04/02/2018;Ajax;NAC Breda;3;1
2017-2018;04/02/2018;AZ;Roda JC;2;2
2017-2018;04/02/2018;Excelsior;FC Utrecht;2;2
2017-2018;04/02/2018;Sparta Rotterdam;Willem II;1;0
2017-2018;04/02/2018;VVV-Venlo;Feyenoord;1;0
2017-2018;06/02/2018;PEC Zwolle;SC Heerenveen;3;2
2017-2018;07/02/2018;FC Twente;AZ;0;4
2017-2018;07/02/2018;FC Utrecht;Sparta Rotterdam;1;0
2017-2018;07/02/2018;NAC Breda;Heracles Almelo;6;1
2017-2018;07/02/2018;PSV;Excelsior;1;0
2017-2018;07/02/2018;Roda JC;Ajax;2;4
2017-2018;07/02/2018;Willem II;VVV-Venlo;3;0
2017-2018;08/02/2018;ADO Den Haag;Vitesse;1;0
2017-2018;08/02/2018;Feyenoord;FC Groningen;3;0
2017-2018;10/02/2018;AZ;VVV-Venlo;0;0
2017-2018;10/02/2018;FC Utrecht;PEC Zwolle;2;1
2017-2018;10/02/2018;Heracles Almelo;Willem II;1;0
2017-2018;10/02/2018;SC Heerenveen;Roda JC;1;1
2017-2018;10/02/2018;Sparta Rotterdam;PSV;1;2
2017-2018;11/02/2018;Ajax;FC Twente;2;1
2017-2018;11/02/2018;Excelsior;NAC Breda;0;0
2017-2018;11/02/2018;FC Groningen;ADO Den Haag;0;0
2017-2018;11/02/2018;Vitesse;Feyenoord;3;1
2017-2018;16/02/2018;VVV-Venlo;FC Groningen;1;1
2017-2018;17/02/2018;ADO Den Haag;Willem II;2;1
2017-2018;17/02/2018;NAC Breda;AZ;1;3
2017-2018;17/02/2018;PSV;SC Heerenveen;2;2
2017-2018;17/02/2018;Vitesse;Excelsior;1;2
2017-2018;18/02/2018;FC Twente;Sparta Rotterdam;1;1
2017-2018;18/02/2018;Feyenoord;Heracles Almelo;1;0
2017-2018;18/02/2018;PEC Zwolle;Ajax;0;1
2017-2018;18/02/2018;Roda JC;FC Utrecht;1;4
2017-2018;23/02/2018;FC Groningen;NAC Breda;1;1
2017-2018;24/02/2018;AZ;Sparta Rotterdam;2;1
2017-2018;24/02/2018;Heracles Almelo;PEC Zwolle;2;1
2017-2018;24/02/2018;SC Heerenveen;Excelsior;0;1
2017-2018;24/02/2018;VVV-Venlo;Vitesse;2;2
2017-2018;25/02/2018;Ajax;ADO Den Haag;0;0
2017-2018;25/02/2018;FC Utrecht;FC Twente;3;1
2017-2018;25/02/2018;Feyenoord;PSV;1;3
2017-2018;25/02/2018;Willem II;Roda JC;1;0
2017-2018;02/03/2018;Roda JC;Heracles Almelo;0;3
2017-2018;03/03/2018;Excelsior;AZ;1;2
2017-2018;03/03/2018;NAC Breda;Feyenoord;2;1
2017-2018;03/03/2018;PSV;FC Utrecht;3;0
2017-2018;03/03/2018;SC Heerenveen;Willem II;2;0
2017-2018;04/03/2018;FC Twente;FC Groningen;1;1
2017-2018;04/03/2018;PEC Zwolle;VVV-Venlo;1;1
2017-2018;04/03/2018;Sparta Rotterdam;ADO Den Haag;2;1
2017-2018;04/03/2018;Vitesse;Ajax;3;2
2017-2018;09/03/2018;Heracles Almelo;FC Twente;2;1
2017-2018;10/03/2018;ADO Den Haag;NAC Breda;0;2
2017-2018;10/03/2018;Roda JC;Sparta Rotterdam;0;2
2017-2018;10/03/2018;VVV-Venlo;Excelsior;2;3
2017-2018;10/03/2018;Willem II;PSV;5;0
2017-2018;11/03/2018;Ajax;SC Heerenveen;4;1
2017-2018;11/03/2018;FC Groningen;PEC Zwolle;2;0
2017-2018;11/03/2018;FC Utrecht;Vitesse;5;1
2017-2018;11/03/2018;Feyenoord;AZ;2;1
2017-2018;16/03/2018;Excelsior;ADO Den Haag;1;2
2017-2018;17/03/2018;FC Twente;Willem II;2;2
2017-2018;17/03/2018;PSV;VVV-Venlo;3;0
2017-2018;17/03/2018;SC Heerenveen;FC Utrecht;2;2
2017-2018;17/03/2018;Vitesse;Heracles Almelo;0;0
2017-2018;18/03/2018;AZ;FC Groningen;3;2
2017-2018;18/03/2018;NAC Breda;Roda JC;0;1
2017-2018;18/03/2018;PEC Zwolle;Feyenoord;3;4
2017-2018;18/03/2018;Sparta Rotterdam;Ajax;2;5
2017-2018;31/03/2018;ADO Den Haag;AZ;0;3
2017-2018;31/03/2018;PEC Zwolle;Sparta Rotterdam;2;0
2017-2018;31/03/2018;PSV;NAC Breda;5;1
2017-2018;31/03/2018;Vitesse;Roda JC;0;3
2017-2018;31/03/2018;Willem II;FC Utrecht;3;2
2017-2018;01/04/2018;FC Groningen;Ajax;1;2
2017-2018;01/04/2018;Feyenoord;Excelsior;5;0
2017-2018;01/04/2018;Heracles Almelo;SC Heerenveen;1;2
2017-2018;01/04/2018;VVV-Venlo;FC Twente;0;0
2017-2018;06/04/2018;Excelsior;Willem II;2;1
2017-2018;07/04/2018;AZ;PSV;2;3
2017-2018;07/04/2018;NAC Breda;Vitesse;1;0
2017-2018;07/04/2018;Roda JC;PEC Zwolle;3;2
2017-2018;07/04/2018;Sparta Rotterdam;VVV-Venlo;3;2
2017-2018;08/04/2018;Ajax;Heracles Almelo;1;0
2017-2018;08/04/2018;FC Twente;Feyenoord;1;3
2017-2018;08/04/2018;FC Utrecht;ADO Den Haag;3;3
2017-2018;08/04/2018;SC Heerenveen;FC Groningen;1;1
2017-2018;13/04/2018;Heracles Almelo;AZ;0;3
2017-2018;14/04/2018;ADO Den Haag;FC Twente;2;1
2017-2018;14/04/2018;PEC Zwolle;Excelsior;1;1
2017-2018;14/04/2018;Vitesse;Sparta Rotterdam;7;0
2017-2018;14/04/2018;VVV-Venlo;SC Heerenveen;0;2
2017-2018;15/04/2018;FC Groningen;Roda JC;2;1
2017-2018;15/04/2018;Feyenoord;FC Utrecht;3;1
2017-2018;15/04/2018;NAC Breda;Willem II;1;2
2017-2018;15/04/2018;PSV;Ajax;3;0
2017-2018;17/04/2018;FC Twente;PEC Zwolle;2;0
2017-2018;17/04/2018;SC Heerenveen;ADO Den Haag;2;0
2017-2018;18/04/2018;AZ;Vitesse;4;3
2017-2018;18/04/2018;Excelsior;Heracles Almelo;2;2
2017-2018;18/04/2018;Roda JC;PSV;2;2
2017-2018;18/04/2018;Sparta Rotterdam;NAC Breda;2;1
2017-2018;18/04/2018;Willem II;Feyenoord;1;5
2017-2018;19/04/2018;Ajax;VVV-Venlo;4;1
2017-2018;19/04/2018;FC Utrecht;FC Groningen;1;1
2017-2018;29/04/2018;ADO Den Haag;PSV;3;3
2017-2018;29/04/2018;Ajax;AZ;3;0
2017-2018;29/04/2018;FC Groningen;Excelsior;4;0
2017-2018;29/04/2018;Feyenoord;Sparta Rotterdam;3;1
2017-2018;29/04/2018;Heracles Almelo;FC Utrecht;2;2
2017-2018;29/04/2018;NAC Breda;SC Heerenveen;3;0
2017-2018;29/04/2018;PEC Zwolle;Willem II;0;1
2017-2018;29/04/2018;Vitesse;FC Twente;5;0
2017-2018;29/04/2018;VVV-Venlo;Roda JC;1;4
2017-2018;06/05/2018;AZ;PEC Zwolle;6;0
2017-2018;06/05/2018;Excelsior;Ajax;1;2
2017-2018;06/05/2018;FC Twente;NAC Breda;1;1
2017-2018;06/05/2018;FC Utrecht;VVV-Venlo;1;0
2017-2018;06/05/2018;PSV;FC Groningen;0;0
2017-2018;06/05/2018;Roda JC;ADO Den Haag;2;3
2017-2018;06/05/2018;SC Heerenveen;Feyenoord;2;3
2017-2018;06/05/2018;Sparta Rotterdam;Heracles Almelo;2;5
2017-2018;06/05/2018;Willem II;Vitesse;2;2
2018-2019;10/08/2018;PEC Zwolle;SC Heerenveen;2;3
2018-2019;11/08/2018;Ajax;Heracles Almelo;1;1
2018-2019;11/08/2018;Excelsior;Fortuna Sittard;1;1
2018-2019;11/08/2018;PSV;FC Utrecht;4;0
2018-2019;11/08/2018;Willem II;VVV-Venlo;0;1
2018-2019;12/08/2018;ADO Den Haag;FC Emmen;1;2
2018-2019;12/08/2018;AZ;NAC Breda;5;0
2018-2019;12/08/2018;De Graafschap;Feyenoord;2;0
2018-2019;12/08/2018;Vitesse;FC Groningen;5;1
2018-2019;17/08/2018;FC Groningen;Willem II;0;1
2018-2019;18/08/2018;Fortuna Sittard;PSV;1;2
2018-2019;18/08/2018;Heracles Almelo;ADO Den Haag;4;2
2018-2019;18/08/2018;NAC Breda;De Graafschap;3;0
2018-2019;18/08/2018;VVV-Venlo;Ajax;0;1
2018-2019;19/08/2018;FC Emmen;AZ;1;4
2018-2019;19/08/2018;FC Utrecht;PEC Zwolle;2;0
2018-2019;19/08/2018;Feyenoord;Excelsior;3;0
2018-2019;19/08/2018;SC Heerenveen;Vitesse;1;1
2018-2019;24/08/2018;ADO Den Haag;Fortuna Sittard;3;1
2018-2019;25/08/2018;Ajax;FC Emmen;5;0
2018-2019;25/08/2018;De Graafschap;FC Groningen;0;1
2018-2019;25/08/2018;NAC Breda;Excelsior;0;2
2018-2019;25/08/2018;PEC Zwolle;PSV;1;2
2018-2019;26/08/2018;AZ;Vitesse;0;0
2018-2019;26/08/2018;FC Utrecht;VVV-Venlo;1;1
2018-2019;26/08/2018;SC Heerenveen;Feyenoord;3;5
2018-2019;26/08/2018;Willem II;Heracles Almelo;5;0
2018-2019;31/08/2018;FC Emmen;De Graafschap;1;1
2018-2019;01/09/2018;Excelsior;ADO Den Haag;2;4
2018-2019;01/09/2018;Fortuna Sittard;FC Utrecht;1;1
2018-2019;01/09/2018;PSV;Willem II;6;1
2018-2019;01/09/2018;VVV-Venlo;SC Heerenveen;1;1
2018-2019;02/09/2018;FC Groningen;PEC Zwolle;0;1
2018-2019;02/09/2018;Feyenoord;NAC Breda;4;2
2018-2019;02/09/2018;Heracles Almelo;AZ;3;2
2018-2019;02/09/2018;Vitesse;Ajax;0;4
2018-2019;15/09/2018;ADO Den Haag;PSV;0;7
2018-2019;15/09/2018;Ajax;FC Groningen;3;0
2018-2019;15/09/2018;De Graafschap;VVV-Venlo;1;2
2018-2019;15/09/2018;Willem II;Excelsior;2;2
2018-2019;16/09/2018;AZ;Feyenoord;1;1
2018-2019;16/09/2018;FC Utrecht;FC Emmen;1;2
2018-2019;16/09/2018;NAC Breda;Fortuna Sittard;2;3
2018-2019;16/09/2018;PEC Zwolle;Vitesse;0;2
2018-2019;16/09/2018;SC Heerenveen;Heracles Almelo;3;5
2018-2019;21/09/2018;Heracles Almelo;De Graafschap;4;0
2018-2019;22/09/2018;Excelsior;SC Heerenveen;3;3
2018-2019;22/09/2018;Fortuna Sittard;Willem II;4;4
2018-2019;22/09/2018;Vitesse;ADO Den Haag;1;1
2018-2019;22/09/2018;VVV-Venlo;NAC Breda;3;0
2018-2019;23/09/2018;FC Emmen;PEC Zwolle;0;1
2018-2019;23/09/2018;FC Groningen;AZ;1;3
2018-2019;23/09/2018;Feyenoord;FC Utrecht;1;0
2018-2019;23/09/2018;PSV;Ajax;3;0
2018-2019;29/09/2018;Excelsior;VVV-Venlo;1;0
2018-2019;29/09/2018;Fortuna Sittard;Ajax;0;2
2018-2019;29/09/2018;NAC Breda;PSV;0;2
2018-2019;29/09/2018;SC Heerenveen;ADO Den Haag;1;1
2018-2019;30/09/2018;AZ;PEC Zwolle;2;2
2018-2019;30/09/2018;De Graafschap;Willem II;2;1
2018-2019;30/09/2018;FC Groningen;FC Utrecht;1;1
2018-2019;30/09/2018;Feyenoord;Vitesse;2;1
2018-2019;30/09/2018;Heracles Almelo;FC Emmen;2;1
2018-2019;05/10/2018;FC Utrecht;NAC Breda;2;1
2018-2019;06/10/2018;ADO Den Haag;FC Groningen;1;0
2018-2019;06/10/2018;De Graafschap;SC Heerenveen;0;5
2018-2019;06/10/2018;PEC Zwolle;Excelsior;2;0
2018-2019;06/10/2018;PSV;VVV-Venlo;4;0
2018-2019;07/10/2018;Ajax;AZ;5;0
2018-2019;07/10/2018;FC Emmen;Fortuna Sittard;3;3
2018-2019;07/10/2018;Vitesse;Heracles Almelo;4;0
2018-2019;07/10/2018;Willem II;Feyenoord;1;1
2018-2019;20/10/2018;Excelsior;Vitesse;2;0
2018-2019;20/10/2018;FC Utrecht;AZ;2;1
2018-2019;20/10/2018;PSV;FC Emmen;6;0
2018-2019;20/10/2018;SC Heerenveen;Ajax;0;4
2018-2019;21/10/2018;Feyenoord;PEC Zwolle;3;0
2018-2019;21/10/2018;Fortuna Sittard;De Graafschap;3;1
2018-2019;21/10/2018;Heracles Almelo;FC Groningen;4;1
2018-2019;21/10/2018;NAC Breda;Willem II;2;2
2018-2019;21/10/2018;VVV-Venlo;ADO Den Haag;2;0
2018-2019;26/10/2018;FC Emmen;VVV-Venlo;1;1
2018-2019;27/10/2018;ADO Den Haag;NAC Breda;1;1
2018-2019;27/10/2018;De Graafschap;Excelsior;4;1
2018-2019;27/10/2018;FC Groningen;PSV;1;2
2018-2019;27/10/2018;PEC Zwolle;Heracles Almelo;1;1
2018-2019;28/10/2018;Ajax;Feyenoord;3;0
2018-2019;28/10/2018;AZ;SC Heerenveen;2;3
2018-2019;28/10/2018;Vitesse;Fortuna Sittard;2;1
2018-2019;28/10/2018;Willem II;FC Utrecht;0;1
2018-2019;02/11/2018;Excelsior;FC Groningen;2;4
2018-2019;03/11/2018;Ajax;Willem II;2;0
2018-2019;03/11/2018;AZ;De Graafschap;1;0
2018-2019;03/11/2018;NAC Breda;Heracles Almelo;2;1
2018-2019;03/11/2018;PSV;Vitesse;1;0
2018-2019;04/11/2018;FC Utrecht;ADO Den Haag;3;0
2018-2019;04/11/2018;Fortuna Sittard;PEC Zwolle;3;0
2018-2019;04/11/2018;SC Heerenveen;FC Emmen;1;1
2018-2019;09/11/2018;PEC Zwolle;Willem II;2;3
2018-2019;10/11/2018;De Graafschap;PSV;1;4
2018-2019;10/11/2018;FC Emmen;NAC Breda;2;0
2018-2019;10/11/2018;Vitesse;FC Utrecht;2;1
2018-2019;10/11/2018;VVV-Venlo;Fortuna Sittard;3;2
2018-2019;11/11/2018;ADO Den Haag;AZ;0;1
2018-2019;11/11/2018;Excelsior;Ajax;1;7
2018-2019;11/11/2018;FC Groningen;SC Heerenveen;2;0
2018-2019;11/11/2018;Heracles Almelo;Feyenoord;0;2
2018-2019;24/11/2018;Fortuna Sittard;Heracles Almelo;3;0
2018-2019;24/11/2018;NAC Breda;Ajax;0;3
2018-2019;24/11/2018;PEC Zwolle;ADO Den Haag;2;3
2018-2019;24/11/2018;PSV;SC Heerenveen;3;0
2018-2019;25/11/2018;FC Emmen;Excelsior;1;2
2018-2019;25/11/2018;FC Utrecht;De Graafschap;5;0
2018-2019;25/11/2018;Feyenoord;FC Groningen;1;0
2018-2019;25/11/2018;VVV-Venlo;AZ;2;2
2018-2019;25/11/2018;Willem II;Vitesse;1;3
2018-2019;30/11/2018;Excelsior;FC Utrecht;3;3
2018-2019;01/12/2018;AZ;Willem II;0;2
2018-2019;01/12/2018;De Graafschap;PEC Zwolle;0;2
2018-2019;01/12/2018;SC Heerenveen;Fortuna Sittard;3;1
2018-2019;01/12/2018;Vitesse;FC Emmen;1;1
2018-2019;02/12/2018;Ajax;ADO Den Haag;5;1
2018-2019;02/12/2018;FC Groningen;NAC Breda;5;2
2018-2019;02/12/2018;Feyenoord;PSV;2;1
2018-2019;02/12/2018;Heracles Almelo;VVV-Venlo;4;1
2018-2019;06/12/2018;Feyenoord;VVV-Venlo;4;1
2018-2019;07/12/2018;Fortuna Sittard;AZ;0;3
2018-2019;07/12/2018;PSV;Excelsior;6;0
2018-2019;08/12/2018;ADO Den Haag;De Graafschap;0;0
2018-2019;08/12/2018;PEC Zwolle;Ajax;1;4
2018-2019;08/12/2018;Willem II;SC Heerenveen;1;5
2018-2019;09/12/2018;FC Emmen;Feyenoord;1;4
2018-2019;09/12/2018;FC Utrecht;Heracles Almelo;3;1
2018-2019;09/12/2018;NAC Breda;Vitesse;2;1
2018-2019;09/12/2018;VVV-Venlo;FC Groningen;0;0
2018-2019;14/12/2018;Willem II;ADO Den Haag;0;3
2018-2019;15/12/2018;AZ;Excelsior;2;1
2018-2019;15/12/2018;Heracles Almelo;PSV;0;4
2018-2019;15/12/2018;PEC Zwolle;NAC Breda;0;0
2018-2019;15/12/2018;Vitesse;VVV-Venlo;2;1
2018-2019;16/12/2018;Ajax;De Graafschap;8;0
2018-2019;16/12/2018;FC Groningen;FC Emmen;1;2
2018-2019;16/12/2018;Feyenoord;Fortuna Sittard;0;2
2018-2019;16/12/2018;SC Heerenveen;FC Utrecht;2;3
2018-2019;21/12/2018;VVV-Venlo;PEC Zwolle;2;0
2018-2019;22/12/2018;Excelsior;Heracles Almelo;0;3
2018-2019;22/12/2018;Fortuna Sittard;FC Groningen;0;0
2018-2019;22/12/2018;NAC Breda;SC Heerenveen;4;2
2018-2019;22/12/2018;PSV;AZ;3;1
2018-2019;23/12/2018;ADO Den Haag;Feyenoord;2;2
2018-2019;23/12/2018;De Graafschap;Vitesse;2;2
2018-2019;23/12/2018;FC Emmen;Willem II;0;2
2018-2019;23/12/2018;FC Utrecht;Ajax;1;3
2018-2019;18/01/2019;Vitesse;Excelsior;3;2
2018-2019;19/01/2019;ADO Den Haag;VVV-Venlo;2;4
2018-2019;19/01/2019;AZ;FC Utrecht;3;0
2018-2019;19/01/2019;FC Groningen;Heracles Almelo;3;0
2018-2019;19/01/2019;PEC Zwolle;Feyenoord;3;1
2018-2019;20/01/2019;Ajax;SC Heerenveen;4;4
2018-2019;20/01/2019;De Graafschap;Fortuna Sittard;5;1
2018-2019;20/01/2019;FC Emmen;PSV;2;2
2018-2019;20/01/2019;Willem II;NAC Breda;2;0
2018-2019;25/01/2019;NAC Breda;ADO Den Haag;1;1
2018-2019;26/01/2019;Excelsior;De Graafschap;2;0
2018-2019;26/01/2019;Heracles Almelo;PEC Zwolle;0;2
2018-2019;26/01/2019;PSV;FC Groningen;2;1
2018-2019;26/01/2019;VVV-Venlo;FC Emmen;2;3
2018-2019;27/01/2019;FC Utrecht;Willem II;0;1
2018-2019;27/01/2019;Feyenoord;Ajax;6;2
2018-2019;27/01/2019;Fortuna Sittard;Vitesse;2;1
2018-2019;27/01/2019;SC Heerenveen;AZ;0;2
2018-2019;01/02/2019;De Graafschap;NAC Breda;3;0
2018-2019;01/02/2019;Vitesse;SC Heerenveen;2;2
2018-2019;02/02/2019;Ajax;VVV-Venlo;6;0
2018-2019;02/02/2019;AZ;FC Emmen;5;0
2018-2019;02/02/2019;Willem II;FC Groningen;1;2
2018-2019;03/02/2019;ADO Den Haag;Heracles Almelo;2;0
2018-2019;03/02/2019;Excelsior;Feyenoord;2;1
